Group 1,Group 2,Mean Differemce (log),Lower 95% CI (log),Upper 95% CI (log),Mean Difference (back-transformed),Lower 95% CI (back-transformed),Upper 95% CI (back-transformed),pMCMC,Significant
C_CC_27.5,D_CC_27.5,18.824,14.103,23.663,1.50E+08,1.33E+06,1.89E+10,0,*
C_CC_27.5,C_WW_27.5,18.758,14.029,23.488,1.40E+08,1.24E+06,1.59E+10,0,*
C_CC_27.5,D_WW_27.5,14.513,10.172,18.778,2.01E+06,2.62E+04,1.43E+08,0,*
C_CC_27.5,C_CC_31,13.762,5.761,21.974,9.48E+05,3.17E+02,3.49E+09,0.001,*
C_CC_27.5,D_CC_31,19.574,13.049,25.959,3.17E+08,4.65E+05,1.88E+11,0,*
C_CC_27.5,C_WW_31,18.024,12.784,23.051,6.73E+07,3.57E+05,1.03E+10,0,*
C_CC_27.5,D_WW_31,19.540,13.195,25.936,3.06E+08,5.38E+05,1.84E+11,0,*
D_CC_27.5,C_WW_27.5,-0.067,-4.740,4.636,-6.46E-02,-9.91E-01,1.02E+02,0.986,
D_CC_27.5,D_WW_27.5,-4.311,-8.633,-0.081,-9.87E-01,-1.00E+00,-7.79E-02,0.042,*
D_CC_27.5,C_CC_31,-5.062,-12.849,3.040,-9.94E-01,-1.00E+00,1.99E+01,0.235,
D_CC_27.5,D_CC_31,0.749,-5.405,6.882,1.12E+00,-9.96E-01,9.74E+02,0.821,
D_CC_27.5,C_WW_31,-0.800,-5.962,4.098,-5.51E-01,-9.97E-01,5.92E+01,0.767,
D_CC_27.5,D_WW_31,0.716,-5.581,7.033,1.05E+00,-9.96E-01,1.13E+03,0.811,
C_WW_27.5,D_WW_27.5,-4.244,-8.372,-0.079,-9.86E-01,-1.00E+00,-7.56E-02,0.048,*
C_WW_27.5,C_CC_31,-4.996,-12.961,3.209,-9.93E-01,-1.00E+00,2.38E+01,0.219,
C_WW_27.5,D_CC_31,0.816,-5.404,6.899,1.26E+00,-9.96E-01,9.91E+02,0.804,
C_WW_27.5,C_WW_31,-0.734,-5.691,4.168,-5.20E-01,-9.97E-01,6.36E+01,0.771,
C_WW_27.5,D_WW_31,0.783,-5.479,7.107,1.19E+00,-9.96E-01,1.22E+03,0.791,
D_WW_27.5,C_CC_31,-0.751,-8.740,7.215,-5.28E-01,-1.00E+00,1.36E+03,0.836,
D_WW_27.5,D_CC_31,5.060,-1.005,11.313,1.57E+02,-6.34E-01,8.19E+04,0.102,
D_WW_27.5,C_WW_31,3.511,-1.373,8.254,3.25E+01,-7.47E-01,3.84E+03,0.146,
D_WW_27.5,D_WW_31,5.027,-1.103,10.919,1.52E+02,-6.68E-01,5.52E+04,0.113,
C_CC_31,D_CC_31,5.812,-3.454,14.773,3.33E+02,-9.68E-01,2.60E+06,0.212,
C_CC_31,C_WW_31,4.262,-4.094,12.829,7.00E+01,-9.83E-01,3.73E+05,0.319,
C_CC_31,D_WW_31,5.779,-3.921,15.088,3.22E+02,-9.80E-01,3.57E+06,0.22,
D_CC_31,C_WW_31,-1.550,-7.738,4.851,-7.88E-01,-1.00E+00,1.27E+02,0.642,
D_CC_31,D_WW_31,-0.033,-7.637,7.586,-3.26E-02,-1.00E+00,1.97E+03,0.998,
C_WW_31,D_WW_31,1.516,-4.942,8.083,3.56E+00,-9.93E-01,3.24E+03,0.642,
